日期,委托时间,品种,股票代码,买卖类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-5-15,9:30:00,股票,*ST新城(000809.XSHE),买,市价单,15300股,2.17,33201,15300股,-,0,5,全部成交,2024-5-15 9:30
2024-5-15,9:30:00,股票,*ST通脉(603559.XSHG),买,市价单,7100股,4.7,33370,7100股,-,0,5,全部成交,2024-5-15 9:30
2024-5-15,9:30:00,股票,ST国安(000839.XSHE),买,市价单,14300股,2.32,33176,14300股,-,0,5,全部成交,2024-5-15 9:30
2024-5-16,9:30:00,股票,*ST亚星(600213.XSHG),买,市价单,5200股,6.44,33488,5200股,-,0,5,全部成交,2024-5-16 9:30
2024-5-16,13:00:00,股票,*ST新城(000809.XSHE),卖,市价单,-15300股,2.22,-33966,-15300股,-,765,21.98,全部成交,2024-5-16 13:00
2024-5-16,13:00:00,股票,*ST通脉(603559.XSHG),卖,市价单,-7100股,4.49,-31879,-7100股,-,-1491,20.94,全部成交,2024-5-16 13:00
2024-5-16,13:00:00,股票,ST国安(000839.XSHE),卖,市价单,-14300股,2.45,-35035,-14300股,-,1859,22.52,全部成交,2024-5-16 13:00
2024-5-17,9:30:00,股票,*ST莫高(600543.XSHG),买,市价单,6000股,5.6,33600,6000股,-,0,5,全部成交,2024-5-17 9:30
2024-5-17,9:30:00,股票,ST起步(603557.XSHG),买,市价单,18200股,1.86,33852,18200股,-,0,5,全部成交,2024-5-17 9:30
2024-5-17,13:00:00,股票,*ST亚星(600213.XSHG),卖,市价单,-5200股,6.18,-32136,-5200股,-,-1352,21.07,全部成交,2024-5-17 13:00
2024-5-20,9:30:00,股票,*ST明诚(600136.XSHG),买,市价单,19000股,1.74,33060,19000股,-,0,5,全部成交,2024-5-20 9:30
2024-5-20,13:00:00,股票,*ST莫高(600543.XSHG),卖,市价单,-6000股,5.96,-35760,-6000股,-,2160,22.88,全部成交,2024-5-20 13:00
2024-5-20,14:55:00,股票,ST起步(603557.XSHG),卖,市价单,-18200股,2,-36400,-18200股,-,2548,23.2,全部成交,2024-5-20 14:55
2024-5-21,9:30:00,股票,ST奥康(603001.XSHG),买,市价单,6800股,5.12,34816,6800股,-,0,5,全部成交,2024-5-21 9:30
2024-5-21,14:00:00,股票,*ST明诚(600136.XSHG),卖,市价单,-19000股,1.68,-31920,-19000股,-,-1140,20.96,全部成交,2024-5-21 14:00
2024-5-22,9:30:00,股票,ST中嘉(000889.XSHE),买,市价单,17500股,1.94,33950,17500股,-,0,5,全部成交,2024-5-22 9:30
2024-5-22,13:00:00,股票,ST奥康(603001.XSHG),卖,市价单,-6800股,5.2,-35360,-6800股,-,544,22.68,全部成交,2024-5-22 13:00
2024-5-23,9:30:00,股票,ST墨龙(002490.XSHE),买,市价单,13800股,2.5,34500,13800股,-,0,5,全部成交,2024-5-23 9:30
2024-5-23,9:30:00,股票,*ST榕泰(600589.XSHG),买,市价单,8600股,3.98,34228,8600股,-,0,5,全部成交,2024-5-23 9:30
2024-5-23,13:00:00,股票,ST中嘉(000889.XSHE),卖,市价单,-17500股,2.04,-35700,-17500股,-,1750,22.85,全部成交,2024-5-23 13:00
2024-5-24,9:30:00,股票,*ST宁科(600165.XSHG),买,市价单,17900股,1.96,35084,17900股,-,0,5,全部成交,2024-5-24 9:30
2024-5-24,9:30:00,股票,ST恒久(002808.XSHE),买,市价单,15800股,2.22,35076,15800股,-,0,5,全部成交,2024-5-24 9:30
2024-5-24,13:00:00,股票,ST墨龙(002490.XSHE),卖,市价单,-13800股,2.42,-33396,-13800股,-,-1104,21.7,全部成交,2024-5-24 13:00
2024-5-27,9:30:00,股票,ST南卫(603880.XSHG),买,市价单,8000股,4.14,33120,8000股,-,0,5,全部成交,2024-5-27 9:30
2024-5-27,13:00:00,股票,*ST榕泰(600589.XSHG),卖,市价单,-8600股,3.76,-32336,-8600股,-,-1892,21.17,全部成交,2024-5-27 13:00
2024-5-27,13:00:00,股票,ST恒久(002808.XSHE),卖,市价单,-0股,--,0,-15800股,-,0,0,已撤单,2024-5-27 13:00
2024-5-27,14:00:00,股票,ST恒久(002808.XSHE),卖,市价单,-0股,--,0,-15800股,-,0,0,已撤单,2024-5-27 14:00
2024-5-27,14:55:00,股票,ST恒久(002808.XSHE),卖,市价单,-0股,--,0,-15800股,-,0,0,已撤单,2024-5-27 14:55
2024-5-28,9:30:00,股票,*ST美讯(600898.XSHG),买,市价单,28100股,1.16,32596,28100股,-,0,5,全部成交,2024-5-28 9:30
2024-5-28,14:00:00,股票,ST南卫(603880.XSHG),卖,市价单,-8000股,4.18,-33440,-8000股,-,320,21.72,全部成交,2024-5-28 14:00
2024-5-29,9:30:00,股票,*ST西发(000752.XSHE),买,市价单,5000股,6.68,33400,5000股,-,0,5,全部成交,2024-5-29 9:30
2024-5-30,13:00:00,股票,*ST西发(000752.XSHE),卖,市价单,-5000股,6.78,-33900,-5000股,-,500,21.95,全部成交,2024-5-30 13:00
2024-5-31,13:00:00,股票,ST恒久(002808.XSHE),卖,市价单,-15800股,2.06,-32548,-15800股,-,-2528,21.27,全部成交,2024-5-31 13:00
2024-5-31,13:00:00,股票,*ST美讯(600898.XSHG),卖,市价单,-28100股,1.1,-30910,-28100股,-,-1686,20.46,全部成交,2024-5-31 13:00
2024-6-3,9:30:00,股票,*ST贤丰(002141.XSHE),买,市价单,29700股,1.1,32670,29700股,-,0,5,全部成交,2024-6-3 9:30
2024-6-3,9:30:00,股票,ST熊猫(600599.XSHG),买,市价单,3100股,10.17,31527,3100股,-,0,5,全部成交,2024-6-3 9:30
2024-6-4,9:30:00,股票,*ST傲农(603363.XSHG),买,市价单,7300股,4.54,33142,7300股,-,0,5,全部成交,2024-6-4 9:30
2024-6-4,13:00:00,股票,*ST宁科(600165.XSHG),卖,市价单,-17900股,1.76,-31504,-17900股,-,-3580,20.75,全部成交,2024-6-4 13:00
2024-6-5,14:55:00,股票,ST熊猫(600599.XSHG),卖,市价单,-3100股,10.16,-31496,-3100股,-,-31,20.75,全部成交,2024-6-5 14:55
2024-6-6,9:30:00,股票,*ST东园(002310.XSHE),买,市价单,22000股,1.43,31460,22000股,-,0,5,全部成交,2024-6-6 9:30
2024-6-11,13:00:00,股票,*ST贤丰(002141.XSHE),卖,市价单,-29700股,0.96,-28512,-29700股,-,-4158,19.26,全部成交,2024-6-11 13:00
2024-6-11,13:00:00,股票,*ST东园(002310.XSHE),卖,市价单,-22000股,1.35,-29700,-22000股,-,-1760,19.85,全部成交,2024-6-11 13:00
2024-6-12,9:30:00,股票,*ST京蓝(000711.XSHE),买,市价单,15500股,1.92,29760,15500股,-,0,5,全部成交,2024-6-12 9:30
2024-6-12,13:00:00,股票,*ST傲农(603363.XSHG),卖,市价单,-7300股,4.26,-31098,-7300股,-,-2044,20.55,全部成交,2024-6-12 13:00
2024-6-13,13:00:00,股票,*ST京蓝(000711.XSHE),卖,市价单,-15500股,1.94,-30070,-15500股,-,310,20.04,全部成交,2024-6-13 13:00
2024-6-14,9:30:00,股票,*ST东园(002310.XSHE),买,市价单,21600股,1.4,30240,21600股,-,0,5,全部成交,2024-6-14 9:30
2024-6-17,13:00:00,股票,*ST东园(002310.XSHE),卖,市价单,-21600股,1.52,-32832,-21600股,-,2592,21.42,全部成交,2024-6-17 13:00
2024-6-18,9:30:00,股票,*ST东园(002310.XSHE),买,市价单,20300股,1.52,30856,20300股,-,0,5,全部成交,2024-6-18 9:30
2024-6-18,9:30:00,股票,ST加加(002650.XSHE),买,市价单,16100股,1.91,30751,16100股,-,0,5,全部成交,2024-6-18 9:30
2024-6-18,9:30:00,股票,ST瑞德(600666.XSHG),买,市价单,23900股,1.3,31070,23900股,-,0,5,全部成交,2024-6-18 9:30
2024-6-19,13:00:00,股票,ST瑞德(600666.XSHG),卖,市价单,-23900股,1.4,-33460,-23900股,-,2390,21.73,全部成交,2024-6-19 13:00
2024-6-19,14:00:00,股票,*ST东园(002310.XSHE),卖,市价单,-20300股,1.55,-31465,-20300股,-,609,20.73,全部成交,2024-6-19 14:00
