日期,股票代码,买卖类型,成交价
20241217,600360,2,4.99
20241219,600234,2,6.16
20241223,002742,1,4.46
20241223,002602,1,5
20241224,002602,2,4.74
20241225,002742,2,4.22
20250103,002569,1,10.14
20250106,002569,2,10.48
20250107,002569,1,10.01
20250108,300313,1,6.2
20250108,002569,2,10.38
20250109,000669,1,2.24
20250109,600381,1,3.94
20250109,300313,2,6.24
20250110,600381,2,4.14
20250113,600381,1,4.14
20250113,000669,2,2.16
20250114,600165,1,2.46
20250114,002289,1,3.92
20250115,600381,2,4.58
20250116,600165,2,2.66
20250116,002289,2,4.03
20250120,002592,1,4.78
20250122,603828,1,3.22
20250122,002592,2,4.82
20250123,002124,1,3.04
20250123,603828,2,3.34
20250124,002124,2,3.08
20250205,600234,1,5.76
20250206,600165,1,2.92
20250206,002259,1,2.55
20250206,600234,2,5.48
20250207,000506,1,4.14
20250207,002259,2,2.56
20250210,600360,1,5.26
20250210,603388,1,2.76
20250210,600165,2,3.02
20250211,600165,1,3.1
20250211,600360,2,5.3
20250211,603388,2,2.78
20250212,002808,1,3.08
20250212,002647,1,6.04
20250212,000506,2,4.58
20250213,000506,1,4.56
20250213,002808,2,3.16
20250213,002647,2,6.08
20250214,603388,1,3.06
20250214,002656,1,2.18
20250214,000506,2,4.82
20250214,600165,2,3.5
20250217,600462,1,1.5
20250217,002005,1,1.86
20250217,002656,2,2.31
20250218,002490,1,3.62
20250218,603388,2,3.28
20250218,600462,2,1.44
20250218,002005,2,1.78
20250219,603388,1,3.18
20250219,600136,1,2.09
20250219,002490,2,3.82
20250220,603388,2,3.5
20250220,600136,2,2.16
20250224,000506,1,5.44
20250225,000506,2,5.96
20250226,002528,1,2.72
20250226,002564,1,4.14
20250227,002490,1,3.84
20250227,002564,2,3.99
20250228,002742,1,4.08
20250228,002490,2,3.88
20250228,002528,2,2.62
20250303,600360,1,5.86
20250303,002309,1,2.48
20250303,603003,1,5.56
20250303,002742,2,4.14
20250304,603377,1,2.42
20250304,603003,2,5.6
20250305,300108,1,1.1
20250305,600360,2,5.96
20250306,000622,1,2.96
20250306,002309,2,2.36
20250306,603377,2,2.43
20250306,300108,2,1.04
20250307,002310,1,1.78
20250307,000622,2,2.86
20250310,002310,2,1.82
20250311,600303,1,3.08
20250312,600711,1,5.6
20250312,000622,1,2.96
20250312,600608,1,3.56
20250312,600303,2,3.38
20250313,600289,1,6.2
20250313,000622,2,3.14
20250314,000525,1,6
20250317,600711,2,5.96
20250317,000525,2,6.16
20250318,002951,1,7.18
20250319,002647,1,6.02
20250319,600608,2,3.44
20250319,002951,2,7.22
20250320,002197,1,6.12
20250320,002289,1,4.74
20250321,002647,2,6.04
20250321,002289,2,4.76
20250324,002424,1,4.18
20250324,002124,1,3.02
20250324,600289,2,9.17
20250325,600289,1,8.7
20250325,002197,2,5.48
20250325,002124,2,3.04
20250326,002310,1,2.04
20250326,002424,2,4.3
20250327,603608,1,4.64
20250327,002310,2,2.18
20250328,002424,1,4.4
20250328,600360,1,6.8
20250328,603608,2,4.72
20250331,603388,1,3.46
20250331,600360,2,6.8
20250331,002424,2,4.24
20250401,603388,2,3.84
20250402,600358,1,4.44
20250402,000506,1,5.6
20250402,600165,1,4.43
20250403,000506,2,5.7
20250403,600165,2,4.6
20250403,600358,2,4.26
20250407,002490,1,3.5
